square_id,latitude,longitude,mean_latency,std_latency,median_latency,mean_throughput,std_throughput,median_throughput,mean_transfer,mean_ul_dl_ratio,mean_speed,observation_count
square_51539607560,-37.79399993203182,144.76517721884792,102.38183658712943,85.37573458266763,70.85000000000001,31.27068492909938,17.408766379834304,29.2,3.7259806407291918,0.8618825696821237,7.2064703504458905,12447
square_51539607562,-37.79356608002705,144.7702564044184,96.38774402614968,78.05491372381903,67.525,30.248075317713027,14.214636808133044,28.9,3.6039782505706155,0.9060926271348325,12.204848249774571,4436
square_51539607566,-37.79311499668874,144.78868999256986,48.47360826199322,37.71477474919033,37.6125,34.33287610827461,20.605666739782485,32.2,4.090910086529337,0.9471788162503487,51.096954913261186,12382
square_51539607569,-37.79410654723757,144.79299135062155,52.73214779005525,41.87520390769895,41.925,28.0664349196629,17.694089909393956,26.0,3.343889624158322,1.2491160078582897,4.630607527624309,14480
square_51539607571,-37.791964689426315,144.8016016569179,54.18388217097863,56.186266857601076,36.675,31.437493896758998,21.119367183033237,28.12,3.7455781854172527,1.0591412841508174,6.544945917660293,8890
square_51539607573,-37.792398468521036,144.80969840912923,79.86308727225573,76.65324407424993,48.325,27.982567548263955,17.210452451984857,26.93,3.3343831193418514,0.7577588375712032,5.890384165726513,15423
square_51539607575,-37.79262515463773,144.8161596757438,98.82633584179209,94.72192886448612,61.12500000000001,27.843545395629157,19.802279108708777,26.1,3.3179097276152874,0.8726692484607964,6.626646709975499,14285
square_51539607577,-37.79369947908881,144.82287423776472,143.288957109806,110.02559562949706,93.5,27.23517996974551,14.61558916132006,25.9,3.2449580976652874,0.876406167560014,6.712513848727532,5619
square_51539607579,-37.79384088185018,144.83138293112117,58.97195104323781,55.437634645042635,39.4875,15.58707808964932,14.571484240475314,17.8,1.857200817877231,0.9195062848006275,6.513262858722976,7956
square_51539607580,-37.791519935561574,144.83795927883168,108.82179689852454,111.96841069866552,52.400000000000006,18.23990777203779,15.228896416706954,17.97,2.17375880994053,0.697911219412689,6.6979629412827455,3321
square_51539607582,-37.79166544287309,144.84325190658726,115.96953107554894,105.46321008662038,67.2,23.49137458713249,11.705046502626091,23.0,2.7992001128116857,0.7368219641899348,5.238092861927801,2687
square_51539607596,-37.78547536456212,144.76442833299387,124.04071622539037,107.26540119564841,74.96249999999999,19.242082531133317,10.656246779856096,17.96,2.2926628200844363,2.405237804634415,7.319566685675492,2946
square_51539607604,-37.78692498704104,144.71826659179266,138.66744060475162,104.73810465982214,96.75,11.755716202078833,12.64794810851213,9.44,1.4011727397745681,0.19470696931703613,22.489212,463
square_51539607606,-37.78367887076204,144.72271549264474,136.6390349769556,112.6435225148013,84.525,16.66386437107377,18.915397663755762,10.5,1.9858072242565818,0.8795463569333755,12.36092921421807,15839
square_51539607609,-37.78506675346993,144.72924766115884,167.99904163912757,124.57228994734803,120.5,7.910392716250826,14.103253471651946,0.0,0.9427180817463923,0.8364284070848905,18.700994952192115,4539
square_51539607612,-37.78498244771447,144.73529879618033,118.75465403882279,104.79087121238612,72.8375,27.685613326500864,23.6951428665906,24.5,3.2992403129525085,0.9550002848317778,30.769019280525985,6388
square_51539607616,-37.78600747826087,144.74923399792962,92.68183618012422,85.84419308892262,61.925,23.375047968830874,20.404964628809868,21.0,2.785189059871571,1.0808208547400866,82.96608004968944,1932
square_51539607618,-37.786048431353066,144.75838412298828,153.6913769123783,114.73527207290122,112.25,19.751344505172113,13.701312961221978,17.92,2.353615894859552,1.2980393002463984,6.728992699384066,5033
square_51539607619,-37.78522538520165,144.77116237535725,115.33995712924738,104.89406711838234,65.825,22.068738519420847,14.761942140361281,20.259999999999998,2.62994978874742,4.5868356552165706,12.941433124166403,3149
square_51539607623,-37.78632085618043,144.78915448491506,61.1643438781488,56.09588858105746,44.05,30.29420485958553,19.222198276121304,29.5,3.609877057245899,0.7388331448867902,69.95684531341536,6828
square_51539607626,-37.78545793171781,144.79453836337902,45.487450458611704,40.72584535326156,34.9,29.948918918440718,18.00170030115188,28.1,3.5686104281968354,1.0240190405973564,18.262224500962517,8831
square_51539607629,-37.78557502421117,144.8015039575212,37.911182807446906,25.41799018869754,32.55,36.85469510354755,20.871539313700882,31.4,4.391296959673542,1.2632075824967592,9.369300374792413,11441
square_51539607631,-37.78646168058468,144.8096202256075,53.96839043419268,52.19631816617651,37.35,35.374219706445814,17.573427905783046,31.1,4.214625184061614,1.002347568180758,7.300099925989885,16214
square_51539607633,-37.78640227860659,144.8156121038243,93.5174176448315,86.46998873603562,61.575,28.391384856588417,19.229126668524817,27.7,3.383094153788811,0.6484037248180642,7.195616623097311,13205
square_51539607635,-37.785943096018734,144.82224796972233,119.33869647039144,95.72617314397668,79.1125,29.395078628146955,20.05662922879863,25.4,3.502804392472922,0.675590141494161,6.842700390097022,5978
square_60129542144,-37.786901817728534,144.8300228027701,79.3701108033241,75.04358678944507,51.0,21.9138631946849,13.789645220927078,21.79,2.6116038889369806,0.9691960321871036,17.669072179501384,1805
square_60129542146,-37.78631365363056,144.8375996443749,106.55408030243775,96.85514935353466,62.699999999999996,24.96339731975541,10.011448158228944,23.8,2.9743356879807066,0.8172324405234569,6.61115545248338,7671
square_60129542148,-37.78536143589189,144.8434749277838,139.39935135135136,107.3689698970654,95.475,28.456590506756754,15.342780766755121,25.6,3.3908330447635135,0.6963568518042805,6.515488164324324,4625
square_60129542170,-37.781514343875024,144.72282988150124,104.28362640502954,92.9449824428732,69.125,30.118491152332584,26.635973766229657,27.5,3.5890736851662224,1.215735308128095,9.760203007048961,5249
square_60129542173,-37.78187993006993,144.72587295104896,162.37465034965035,113.3509941270706,104.425,4.53805944055944,9.66851622327938,0.0,0.5405852545891608,0.514683159588224,3.4837285594405594,143
square_60129542176,-37.77855751983211,144.73694713725078,82.23604512067156,72.58929133596632,59.224999999999994,32.24548448157135,23.613333199883172,30.189999999999998,3.8424205674514686,0.7716665444328517,58.921449182791186,4765
square_60129542178,-37.77698082196162,144.74695196055438,125.41383262260128,95.19935021788146,88.48750000000001,16.63203281166711,17.045782527771266,12.6,1.9818712207655917,0.5425227340907398,96.18510278464818,938
square_60129542180,-37.780447159926474,144.74755397610292,134.68279871323531,106.59281227771855,91.9875,9.863550917681525,14.085888312112825,4.115,1.1753136668485755,3.7856768013193434,96.04887678676471,544
square_60129542182,-37.777981645650556,144.75858924639405,165.91939776951673,115.85968418592613,126.75,26.563621883712827,15.024874442039804,24.9,3.1654976998141264,0.9346713714947927,7.020801464981413,6725
square_60129542184,-37.77816256483286,144.76544389266977,187.96544371158748,121.46666891133046,161.5,19.43949489277282,12.759341991141353,18.17,2.316576837360403,2.5105003423205923,6.09562965792235,6671
square_60129542186,-37.7787981984628,144.77133803650838,173.5918062036783,127.15428913696428,129.0,16.735546306701206,13.819776292849111,15.5,1.9945186804102044,3.5715107761395894,12.087710160856437,3643
square_60129542188,-37.77966490517241,144.78011960775862,94.18211206896552,86.054076160719,61.1375,26.174713766163794,16.26363012182668,26.4,3.119131953798491,0.4153053588563965,58.5044485,232
square_60129542190,-37.781140009287924,144.78717443962847,56.64596749226006,45.76707888980142,43.324999999999996,28.783234205688853,17.156698196201273,26.2,3.4298268793537154,0.7905041690920344,57.13051893498452,323
square_60129542192,-37.77908891567215,144.7938033930421,68.85810177887863,60.51887424250244,54.65,30.62395002489234,21.03012911223929,29.0,3.6490497118909735,0.8777350005830941,67.99834747804549,8882
square_60129542195,-37.77959400823879,144.80177097150187,73.749450634792,34.818131651296966,66.925,32.85582606319219,17.980494791461318,32.05,3.914673088976398,0.96420997586205,6.274022951377634,7404
square_60129542197,-37.77972565830389,144.80701236183745,89.2512703180212,52.75078165389191,73.1,35.49147683856007,16.39317004669784,36.4,4.229113481393551,0.6694926387851897,9.48186894558304,2830
square_60129542199,-37.780020520502646,144.81720438161375,78.3592757936508,47.60900045762821,68.1875,30.918994708994706,16.759819324607474,30.1,3.684222160218254,0.7864564424012517,22.554202291005293,1512
square_60129542201,-37.77965294383149,144.8217140225677,55.270021313941825,41.29158401860302,45.337500000000006,27.37536108324975,12.224382017098439,24.7,3.261921526297643,1.0423954238120439,17.164128880641925,1994
square_60129542203,-37.776370342330765,144.83075620694086,45.44824764353042,20.880190569975067,41.22500000000001,28.12650814053128,13.686201188616485,27.1,3.3511527788935305,1.2726549138259384,15.42125803941731,2334
square_60129542205,-37.776889113109654,144.83877249740573,62.018479764787266,44.95908579609476,49.375,27.396100073503977,9.757077257910929,27.2,3.263551741936181,1.3882793738313575,10.423523003804911,2891
square_60129542207,-37.77850688675524,144.8446546847623,83.69711879800705,82.43861008078652,49.5,31.057381247405022,15.37186706793487,28.0,3.700182702537887,1.1776476383436556,6.834611841810255,9634
square_68719476737,-37.77117702949656,144.73801656398314,88.49246950543358,79.87698728037469,61.175000000000004,27.88111952743818,24.058706811796377,24.3,3.3222424660228156,0.6226950944018688,68.22173339188289,4509
square_68719476739,-37.771176321347035,144.74576409246575,106.32501426940638,87.95023017150888,72.73750000000001,25.536515834581905,22.870629364114585,21.0,3.0428430788919805,0.7192094753618914,92.56149066210047,1752
square_68719476740,-37.76802753571428,144.75412503571428,70.18928571428572,37.574471379793216,60.4,23.74535714285714,6.605707679105922,22.0,2.8285714285714287,1.025690409112752,54.93521457142857,28
square_68719476742,-37.769808513084115,144.75771963037383,85.66540303738317,90.2232907614772,49.25,30.140330046181365,21.586149086724262,27.0,3.5919703357732184,0.8432319844159235,11.99590075140187,8560
square_68719476744,-37.77039312750133,144.765648365858,119.08742739507703,105.04085013143707,72.425,24.30612196603285,15.759543055358218,21.3,2.8960665802223526,0.9201604284533359,11.507088960510005,5647
square_68719476746,-37.7705773080538,144.7735035828877,55.73747609787717,54.93209045606642,38.85,30.593257376362217,20.987270687487346,28.5,3.645581297601685,1.0663390713410699,16.907977604278074,12342
square_68719476748,-37.77027405913429,144.77780374403545,42.38748040218132,28.611519517243476,35.75,34.51168541240627,21.097804412295595,28.66,4.112322095209185,1.2478637839483557,16.963942214723925,5868
square_68719476750,-37.7706869829116,144.788093276372,68.13002218205717,58.652044770165354,50.325,32.232395277070324,18.559215597752125,29.91,3.840667961689739,0.9442265971671289,37.56547563457115,3043
square_68719476752,-37.77111760094085,144.79486994945452,57.417744470023024,48.708873313459264,43.925,33.94291071339205,22.328620267820355,30.4,4.044653737191598,0.8655363976444471,58.64874635892303,9991
square_68719476754,-37.76955983027794,144.80009299526907,54.31338261383796,45.11591544839162,40.625,31.502016558249558,19.498600162523225,29.29,3.7536087882539917,0.9200061906996426,74.83401918391485,1691
square_68719476757,-37.76881047262345,144.80874440275446,101.50636714813571,93.11864406515943,64.10000000000001,21.31453613117232,17.970319006360736,18.869999999999997,2.5399626400056685,1.116490631132751,87.1274289606987,2977
square_68719476759,-37.76790071735241,144.81346900894454,123.49713774597494,103.14909895823995,80.27499999999999,15.932715472663238,13.212310597315504,15.73,1.8983933188450357,3.0962881789988246,90.01810327728086,559
square_68719476761,-37.768492867629654,144.82392234714658,146.35703883495145,111.36182282139856,110.125,27.332057778830215,15.693592102165102,26.9,3.2569256249260006,0.5646544188352968,7.092489455837082,4223
square_68719476763,-37.77070998928967,144.83165572387048,98.41400621691494,92.89203342537796,54.675,23.728371447683276,17.055094899218044,21.7,2.82744650666414,0.7637623760507184,6.9774888861258155,16246
square_68719476765,-37.77032440293198,144.8376489547705,56.338988704638304,51.38853406407214,38.974999999999994,29.670614456598475,19.340740840396617,29.0,3.535229877790045,0.8957242872579093,6.880163976928623,20805
square_68719476767,-37.77128577541502,144.844436274721,69.35610404752651,66.04202524671173,43.325,27.132160812749845,14.692665234996149,27.34,3.2326689906949224,0.9057338611576067,6.788612373549498,18011
square_68719476769,-37.770737185007974,144.84864194736844,53.2286283891547,55.64616585671809,32.275,25.821355661881977,10.49624870975991,24.0,3.0756889827551834,1.274277326180558,10.520996376395534,627
square_68719476793,-37.764022437201305,144.7389997746129,85.53977251003631,76.16082274497222,61.425,30.24068244748853,23.454905132462684,28.19,3.6035689037558547,0.6716521195938704,45.219253026190025,5231
square_68719476795,-37.76349860739437,144.7423225,88.8678477112676,72.25631188354728,68.3375,39.69524656483824,22.86615109665633,36.2,4.7296917380749335,1.0374056303158306,58.59195142429578,2272
square_68719476797,-37.76204103012404,144.7533476296515,78.40237743650326,64.21499597156064,60.875,31.073753760890433,20.429325693425767,27.2,3.702630535200089,0.8461486444626489,31.29296505138807,1693
square_68719476799,-37.76402555091914,144.7587143152137,111.07448122251044,101.63390747017185,67.82499999999999,25.097532881752567,15.27210827838773,23.8,2.990426586112834,0.9027701914199083,14.728370344423142,8867
square_68719476801,-37.76448412421011,144.7649689200237,144.80551095971566,110.99415464629068,102.7125,27.10936136977932,17.114194888270138,25.6,3.230379771734301,0.5879469697404607,15.157214542654028,5064
square_68719476803,-37.76414270012454,144.77359396811954,65.75621450809464,63.946222025409185,47.375,26.680789116010274,19.423247398563536,27.7,3.179213347894614,0.6790067475109117,18.560267738480697,8030
square_68719476805,-37.76332141073826,144.7806215469053,103.91830984340044,99.99669116030861,54.275,28.139131420115582,12.430181780810628,27.4,3.352947489921234,0.8875206721106634,6.799920037583893,6705
square_68719476807,-37.76472634684685,144.7876519494852,154.88720238095237,114.48572810830646,113.75,23.481534566793357,12.054662120521686,21.4,2.7978822796010294,0.7417568409034379,13.19652014929215,3108
square_68719476809,-37.76323615495592,144.79443056532193,213.4354728827144,114.74685309477165,208.25,17.123817480129574,8.710278267974937,16.85,2.040680950795652,0.560304061579834,5.857908161367887,3743
square_68719476811,-37.76503921596813,144.80216879286456,83.82879546241774,76.1553322728418,53.7375,32.97363135797324,18.73868126236472,29.4,3.929029140597939,1.0237524800621733,49.46361212400416,5774
square_68719476813,-37.763242530241456,144.80835842720535,127.50193043270379,106.38806766805074,78.025,27.502244865751255,16.578897358478315,21.8,3.2768097993366005,0.8818579019923777,10.284045313889552,4183
square_68719476815,-37.7642331035055,144.8163642993155,133.40228531425015,113.95892557156456,81.8,27.163252943664435,19.188031642436155,24.0,3.236627326653573,0.8277511929594498,70.35221019373574,4821
square_68719476817,-37.7643332164247,144.82354629629828,106.81377698612525,94.68819118898455,66.425,25.22949362511384,17.85693550406191,25.4,3.006110523207733,0.8177369895811244,14.968597180478918,18667
square_68719476819,-37.76475295685904,144.83020611998742,104.52871311002778,93.80467291379323,62.625,30.229090574956096,18.25773588467866,28.06,3.6022444167469336,0.6579001227272122,8.693667195470987,19077
square_77309411328,-37.76628213252531,144.837620200303,57.88186767402918,60.313299379046505,35.4,27.38564707758552,15.258734836470738,26.9,3.262729447412487,1.1262218470522716,7.245076424846504,12541
square_77309411330,-37.76605979231349,144.84379880587792,68.48695327807084,69.36779904139735,40.3,25.915667291705915,14.3279913616967,26.4,3.0878100950216654,0.9274207614832348,9.207151149359458,6635
square_77309411332,-37.76473293675027,144.85090490389857,68.79567305070883,74.1026499096648,38.849999999999994,25.624455454586116,14.747161251121822,24.7,3.052658812544728,1.3225318014943221,8.549754718102509,7336
square_77309411361,-37.75785338378804,144.7396071618573,59.1811778593914,40.400901657828406,48.8,38.132407457125524,23.58470966337689,33.849999999999994,4.543624517354735,0.9445631087920714,25.38869147848898,3812
square_77309411363,-37.758002077005735,144.7430489161891,74.41481017191977,66.06405264852138,53.925,35.698049155511285,20.483894122083072,33.2,4.25395317536712,0.7627009980669179,30.24892163037249,2792
square_77309411365,-37.759652387374466,144.74895452654232,91.04250358680058,73.45291376715701,68.72500000000001,26.328952654232424,15.373162367307701,26.9,3.1369110921807746,0.9938287782110403,46.507841164992826,697
square_77309411367,-37.75695540188679,144.75992073169812,181.7830566037736,123.75180012569275,153.625,20.749945857900943,12.649659776738737,20.2,2.472583092570755,0.6495885692580091,6.423047695094339,2650
square_77309411369,-37.75601567044718,144.76497362605315,160.50371840570318,117.37535719151907,125.75,30.916244329228775,19.521822660572745,28.1,3.684208560332955,0.6958242633264845,7.021595143227479,3086
square_77309411371,-37.75682899449965,144.77247801295246,82.379554648687,69.3009016747374,62.0375,36.41115393785486,17.951312065300637,35.0,4.338746818721168,0.7030082933768466,7.550360506032646,5636
square_77309411373,-37.757422495207095,144.7773975114849,97.7401275094954,86.2886455313463,64.10000000000001,26.18748897856755,19.878934208297366,25.0,3.120232188376063,0.8538121587882244,25.471582655814796,5529
square_77309411375,-37.75669202730899,144.7875779812826,138.25377416385393,105.27248763836164,99.025,13.786651136755905,13.399567050480728,16.18,1.642641243479595,0.8650460097471432,11.809823257440932,3259
square_77309411377,-37.756044280085405,144.79378344875775,134.7178280279503,83.73817718048511,104.38749999999999,25.897794667119562,13.109542028408772,25.4,3.086193290378737,0.4377985677461118,12.78405620031056,5152
square_77309411379,-37.75681398738524,144.80216822180952,117.36615372485808,91.1490435516308,81.425,27.868489390790348,16.473720885972416,27.3,3.3210018864649764,0.6754852878288031,7.998380453570678,14269
square_77309411381,-37.75735650858779,144.80806739305027,137.05117763994912,104.97302566019138,87.9875,27.606473539318443,13.751268144342998,26.7,3.2896034997838144,0.6172286780387678,7.626630985687023,12576
square_77309411383,-37.756628548544874,144.81491592247494,182.250892638787,116.32952516881056,146.25,21.943545750603754,10.983741825265454,21.5,2.6147265672765347,0.7458898078544024,6.584521266813401,4089
square_77309411385,-37.75705429399774,144.82351570849377,120.93590600226501,102.78989928368692,76.05,31.52263422812854,17.321983369923664,28.975,3.756048257449745,0.8069470476272694,43.749190901472254,8830
square_77309411387,-37.75651460086534,144.82945615521905,132.35839147286822,107.11302034243204,87.94999999999999,24.01606827170092,14.230680063310597,21.4,2.8613980952541915,0.8966056201983693,21.76486292410312,5547
square_77309411389,-37.75445291489361,144.8381805531915,196.3,134.5471361561668,158.0,71.27553191489362,16.36582093326245,71.6,8.495759640957447,0.22768461191245243,21.97528034042553,47
square_77309411391,-37.75778311314286,144.84771096114287,183.1708857142857,107.69393502663046,175.0,23.649773794642858,10.643981983349018,22.4,2.8183481473214287,0.3811766874521399,5.922065261714285,875
square_85899345923,-37.74854112997904,144.73768576939202,111.15235849056604,93.98240978611504,72.14999999999999,37.82041928721174,22.98604024277162,35.2,4.506471517950734,0.5480785951400521,42.1448574591195,477
square_85899345924,-37.748182810289386,144.74326671061092,124.76310289389066,94.13683431975079,80.95,48.33340836012862,24.8718372790578,43.2,5.759685364750804,0.752765040587536,49.921648527331186,311
square_85899345926,-37.74684478807947,144.74849843708608,107.55960264900662,64.57521143731853,84.975,22.893245033112585,16.2974642015118,21.6,2.7277361858443707,0.5206194714812888,33.58470765562914,151
square_85899345928,-37.74944408044244,144.76070969884364,153.93116578682756,115.71275666324668,112.0,31.73688996021085,19.702059237303086,32.0,3.7821646374395113,0.45768554996823807,5.42632228959276,3978
square_85899345930,-37.749380174134075,144.7657136426257,148.9648163407821,116.77784574093477,94.7625,28.987238039018855,19.04571864013449,28.075,3.454128947712989,0.7077232920490627,6.286840275083798,17900
square_85899345932,-37.74985341771679,144.77208548716513,99.19655068608233,82.30324165696048,67.55,32.414556030056936,16.404436230726667,31.6,3.863105118707995,0.9035872187154889,6.984333174647625,10713
square_85899345934,-37.74975438902852,144.7796719711507,79.25638564091356,62.89494426633654,61.224999999999994,31.859624396411593,14.547466893031096,30.6,3.79613520935212,0.8583456550737629,19.348570957053873,9151
square_85899345936,-37.74860877683833,144.78601788880349,93.55956956187548,76.3018964462108,67.15,26.701933158387778,13.4723943542803,25.6,3.1820198079802395,0.8026464617264766,7.353906700486805,3903
square_85899345938,-37.747904591864405,144.7950927683051,70.37065254237288,49.471740380171006,59.25,29.85649353151483,12.27420078786442,28.5,3.5580767098119703,1.1568176569211304,5.9453933586440675,5900
square_85899345940,-37.74981861190713,144.80209338253698,59.62373355166969,40.22838212820899,57.0,30.729689871300955,14.922619727816828,29.3,3.6616436964972365,1.1497061500722927,5.292045105327797,17099
square_85899345942,-37.75005568738158,144.8074386938234,116.74597385373248,107.18819955703475,67.05,25.91380826070481,10.536376481060099,24.3,3.0872781919050776,0.957690225417417,7.676679654414551,2639
square_85899345944,-37.74950255484097,144.81756484892423,187.5044872544434,117.48806819896096,174.25,22.707046021763915,12.463540847262065,21.1,2.7058787715044725,0.5395341247493416,7.20136751777362,8552
square_85899345946,-37.74924827422897,144.8227432991502,180.08505681275662,119.65194009567296,157.25,24.89650228377435,13.069556407283704,23.1,2.9666497276478805,0.725389182377609,8.863716385753843,10473
square_85899345948,-37.74985615878296,144.8308367491278,124.59943813387423,101.62876834657695,81.05,33.118139553752535,19.56905127464476,30.7,3.946347743407708,0.7103674415218283,30.214063089006082,12325
square_85899345950,-37.7496451203887,144.83855022206225,100.85919560914164,97.09259622746434,57.900000000000006,27.0911004174071,19.421540073115523,26.4,3.2283006775660206,0.9298076157081846,33.43362709519525,5557
square_85899345984,-37.743938458015265,144.7364860667939,62.95620229007634,40.38892153757712,56.6125,42.65057251908397,20.677222956518687,37.150000000000006,5.081520008349237,0.9011886628198722,44.85733441221374,524
square_85899345985,-37.745523642857144,144.74107060204082,69.95102040816326,56.70252088961029,60.65,47.10591836734694,22.547683669029695,42.55,5.61344746492347,0.8292284431464823,57.75796493877551,98
square_85899345986,-37.74196048214286,144.749387425,110.92205357142856,84.67987108518935,73.0875,36.06428571428572,19.953534326140197,31.9,4.297361049107143,0.5731854686054496,57.99282027142857,280
square_85899345987,-37.74495486262266,144.76112570651202,100.16349241748438,78.5014428588946,73.075,24.4778590544157,13.637595444923646,23.44,2.9160997086864406,1.2967124707325852,6.061488613737734,1121
square_85899345988,-37.74221601923196,144.76578745356412,94.68246076059309,70.73233093496559,70.60000000000001,26.304582506959953,13.783797509169613,26.5,3.1343148395333147,1.093665896697528,6.207946166635648,16119
square_85899345990,-37.74274305995204,144.7719724621757,91.05905893467045,71.86242727613667,68.22500000000001,30.304569446715355,17.18753515164475,28.490000000000002,3.6116887832063895,0.6675933845098598,6.9688499001526045,13761
square_85899345992,-37.74242480731604,144.7794193199348,88.99825499787325,74.98690794287958,64.0,27.986875628611052,17.537229737560015,27.8,3.33518097698342,0.7441252104689599,13.496593633063945,14106
square_85899345994,-37.74379287231353,144.7867469207152,86.87231443019685,81.9728947076824,53.425000000000004,21.20610489660466,15.733792393296913,20.78,2.527015136806935,0.8454677179676212,8.982713756908073,5537
square_85899345996,-37.74444489830784,144.79507687373902,65.85824520013017,51.459637014932575,49.0,29.569148747661078,12.155670448875396,28.1,3.523732413612512,1.2426724726453482,8.194461774162056,6146
square_85899345998,-37.74181912521151,144.80205200300807,63.75945243466818,64.2674622240717,39.55,27.96601909777302,13.262037605606814,27.39,3.3321841915479884,1.268919397222946,8.306256385410792,21276
square_85899346000,-37.743653772669674,144.80885499916846,122.55890175813732,110.38938533627216,72.45,33.70432686251435,20.62935477583809,30.5,4.01669379417617,0.6778404554397716,12.339699922863705,25254
square_85899346002,-37.74277041702617,144.8162757763877,175.2530442910555,121.69219093071757,148.25,30.370883287721096,18.71902799105749,26.6,3.6193404116560615,0.7011047347602039,16.39744421225194,6954
square_85899346004,-37.74185763026225,144.82335704201174,111.20240683229814,98.7700841884457,68.45,35.46609989648034,16.68893264502942,32.5,4.225732263495298,0.9448157503318941,10.14901400069013,11592
square_94489280512,-37.74421794054581,144.8280697797271,67.23795808966862,68.09982369517809,42.025,30.957183235867447,16.895154212465116,30.0,3.6882279483430795,1.03773543523348,37.94519478362574,1026
square_94489280514,-37.74561920861678,144.84033464852607,130.071768707483,112.92744940457858,78.64999999999999,22.309138321995466,17.641006366402685,23.04,2.6582874503968257,0.5914865202585271,91.34715769614512,441
square_94489280516,-37.74314062178336,144.84503560023938,129.44736684619988,112.07618066410883,79.375,20.59293086802439,18.477826488190846,20.3,2.454117908671828,0.7166149308864408,87.71129965050866,1671
square_94489280518,-37.739660387965614,144.85066241203438,107.47643266475644,95.77674674237451,71.525,26.490497022743554,22.275196425087206,24.5,3.157118497045129,1.4125718275146004,44.37226646647565,1745
square_94489280554,-37.737056714285714,144.73959371428572,76.82142857142857,51.341934672861534,49.75,13.471428571428573,9.263221953099308,19.0,1.6035379464285715,0.706393548972284,54.53081714285714,7
square_94489280555,-37.73373376136363,144.742259375,35.82613636363636,20.005284111254102,32.275,22.908977272727274,6.167111703066374,21.9,2.728563565340909,1.3324523880058967,20.929031090909092,88
square_94489280556,-37.73524493055555,144.7488766472222,124.39756944444444,93.89547789322653,77.5875,38.987027777777776,16.184443829199314,37.75,4.645895833333333,0.4617950052041598,55.82802555555555,360
square_94489280558,-37.73726754832519,144.76623306821355,97.41017533147243,81.33819153631971,67.9,25.549336325944257,9.559124199824309,25.26,3.044537613330317,1.4668664698736826,5.8706690809490585,5732
square_94489280560,-37.7363241477241,144.77212229712373,182.01628734990226,121.95410444351101,147.25,25.070898148430956,17.109968285576684,23.2,2.987901440545588,0.6536097700755138,6.871021366098855,3581
square_94489280562,-37.73546820290041,144.78035216632446,140.46799602156057,109.52176373080512,98.4,24.151803720462492,14.406817068024678,23.8,2.8780845601357963,0.5394520295787668,14.469191608829568,7792
square_94489280565,-37.734854566710126,144.7871317940026,87.88781562364188,87.46684833593363,48.375,26.63445835370491,11.340624106769218,26.424999999999997,3.173565940674571,0.8685366888090086,6.093950866579748,4602
square_94489280567,-37.73514966185977,144.7953566911984,98.6129574838389,96.9356773069293,50.75,24.90455224131858,14.83399666923575,25.5,2.9674215318353223,0.7820904035835277,6.951215082380242,6033
square_94489280569,-37.736169345791765,144.80193055662497,108.5905154910777,103.14183070785248,59.725,22.780589617618904,14.313709696067082,22.6,2.7144489872675024,0.8182914203151209,7.2974389568638465,14234
square_94489280571,-37.735147650442,144.80904620039408,114.75884279475981,101.76155585927441,67.8375,26.922782567615695,14.263300178872404,25.7,3.2080422943404514,0.7102646767335608,6.81305865970817,18778
square_94489280573,-37.735215222501495,144.81594881160981,148.57329533213644,112.06932065554899,106.88749999999999,25.9466384836924,13.126070521945307,24.7,3.0916996763493043,0.658041645874193,8.073078026331537,16710
square_94489280575,-37.73568309368128,144.8232779686996,81.45007330303474,81.30809959573072,49.3625,35.35929189268436,14.88124815524045,33.5,4.213109821117688,0.8515898252309426,9.153651594780824,13642
square_94489280577,-37.73633452677236,144.82875941669158,47.397178432545616,31.87166100806045,40.65,44.35969189350883,21.132350188068692,41.3,5.285829321530063,0.632884743086012,8.328513249177385,3343
square_94489280583,-37.736874245212945,144.84993971690326,73.31388432651039,72.10892831182007,45.775000000000006,33.95052548992551,25.609241791782473,31.9,4.045806568406446,0.8329379747213064,30.15874511852096,12116
